Electric Rebates and Incentives,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016
Free Weatherization,"$797,134 ","$175,304 ","$757,545 ","$752,132 ","$513,909.00 ","$6,291 ","$598,003 ","$999,677 ","$509,566 ","$496,998 ","$2,171,920.00 "
Multi-family Rebates,"$291,108 ","$629,560 ","$1,461,516 ","$1,143,984 ","$2,098,407.00 ","$1,784,498 ","$2,734,740 ","$2,524,498 ","$2,507,220 ","$2,612,788 ","$1,434,627.00 "
Loan Options,"$299,224 ","$277,523 ","$233,380 ","$228,712 ","$86,029.00 ","$34,867 ","$24,137 ","$6,024 ","$351,576 ","$25,724 ",$357.00 
Home Performance w/ Energy Star,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,"$2,140,221 ","$3,163,541 ","$2,754,305 ","$1,755,138 ","$1,375,252.00 "
Rebate Options,"$2,640,260 ","$2,293,274 ","$3,201,580 ","$4,056,167 ","$5,469,084.00 ","$5,300,279 ","$41,595 ","($8,450)",$0 ,$0 ,$0.00 
Clothes Washer Rebates,"$27,250 ","$44,100 ","$50,495 ","$50,000 ","$56,600.00 ","$30,700 ","$20,750 ","$15,750 ","$1,100 ",$0 ,$0.00 
Duct Diagnostic/Sealing Rebates,"$197,543 ","$166,103 ","$80,654 ","$56,918 ","$37,490.00 ","$10,205 ","$3,770 ",$0 ,$0 ,$0 ,$0.00 
Nexus-Home Audit CD,"$47,500 ","$53,125 ","$56,123 ","$60,994 ","$59,051.00 ","$57,085 ","$56,550 ","$80,113 ","$34,637 ",$0 ,$0.00 
Compact Flourescent Distribution,"$70,895 ","$202,709 ","$101,265 ","$427,230 ",$0.00 ,$0 ,$0 ,$0 ,"$6,000 ","$260,095 ",$0.00 
Municipal/ Loan Star Debt Service,$0 ,$0 ,$0 ,$0 ,$790.00 ,"$11,247 ","$58,957 ",$0 ,$0 ,$0 ,$0.00 
Commercial-Existing Construction,"$2,053,351 ","$3,579,211 ","$3,193,100 ","$2,706,843 ","$2,845,133.00 ","$2,844,440 ","$3,001,704 ","$2,388,150 ","$2,469,569 ","$3,401,173 ","$3,092,412.00 "
Small Businesses,"$711,118 ","$498,100 ","$666,400 ","$248,639 ","$963,957.00 ","$556,614 ","$379,963 ","$760,581 ","$2,989,386 ","$4,075,625 ","$1,922,367.00 "
Green Building,"$6,000 ",$0 ,$0 ,$0 ,$0.00 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$16,998.00 "
Commercial Power Partner,"$417,393 ","$945,451 ","$221,300 ","$300,880 ","$205,923.00 ","$128,463 ","$97,381 ","$260,270 ","$70,122 ","$67,101 ","$69,726.00 "
Commercial Miser Program,"$90,000 ",$0 ,$0 ,"$139,897 ","$1,496.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,
Commercial Finance Program,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,$0 ,$0 ,$0 ,$0 ,
Solar Rebates,"$2,796,354 ","$2,561,892 ","$4,198,494 ","$6,710,009 ","$3,910,771.00 ","$4,574,033 ","$5,849,240 ","$8,489,880 ","$7,437,836 ","$8,015,376 ","$6,382,348.00 "
Refrigerator Recycle program,"$473,986 ","$391,680 ","$515,186 ","$517,615 ","$508,294.00 ","$470,912 ","$346,040 ","$377,417 ","$346,693 ","$288,686 ","$389,412.00 "
Multi-Family Duct Sealing,"$1,019,024 ","$598,573 ","$125,800 ","$509,055 ","$72,978.00 ","$8,492 ",$0 ,$0 ,$0 ,$0 ,
Residential Power Partner,"$991,613 ","$1,586,377 ","$1,095,913 ","$670,259 ","$807,111.00 ","$665,876 ","$400,035 ","$1,070,005 ","$1,124,518 ","$1,053,568 ","$1,448,075.00 "
Load Coop,$597 ,"$34,459 ","$4,567 ","$7,508 ","$9,289.00 ","$455,035 ","$135,250 ","$281,574 ","$187,233 ","$248,003 ","$411,282.00 "
Thermal Energy Storage,"$14,000 ","$31,250 ",$0 ,$0 ,$0.00 ,$0 ,$0 ,$0 ,$0 ,$0 ,
Plug-In Vehicle Charging Station Rebates*,"$692,542 ","$762,622 ",$0 ,$0 ,$0.00 ,"$47,832 ","$179,376 ","$119,500 ","$181,542 ","$435,224 ","$235,284.00 "
Cycle Saver,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,$0 ,$0 ,$0 ,$0 ,
Appliance Efficiency Program,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,"$1,647,015 ",$0 ,"$31,240 ","$824,445 ","$1,386,970.00 "
Air Conditioning Rebates,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,"$20,500 ","$1,521,960 ","$1,614,201 ","$666,435 ","$3,900.00 "
