Program ,Customer Class,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
Appliance Efficiency Program,Residential,2415,3745,4000,4444,5367,3819,3366,5409,2888,35453
Home Performance ES - Rebate,Residential,1712,2223,2463,2941,2919,2202,1819,1634,946,18859
Home Performance ES - Loan ,Residential,248,213,191,109,71,34,385,457,58,1766
Free Weatherization,Residential,632,505,538,456,1044,958,155,312,520,5120
Clothes Washer Rebate,Residential,882,813,878,1029,647,414,249,33,,4945
Refrigerator Recycling,Residential,3381,3515,3132,3428,2943,2553,2666,2524,2422,26564
Commercial Rebate,Commercial,325,351,401,315,350,372,453,542,438,3547
Small Business,Commercial,349,264,202,384,336,233,267,539,772,3346
Municipal ,Commercial,1,129,12,9,99,68,106,,,424
Commercial Smart Vendor ,Commercial,572,420,155,120,143,,,,,1410
Multifamily,Commercial,10505,21814,17162,18234,10989,18213,7917,7403,8737,120974
Energy Efficiency and Green Building Projects,Commercial,,,,,,,,1,18,19
Power Partner,Demand Response (DR),10355,9934,7839,4617,1511,891,4278,3306,2892,45623
Cycle Saver,Demand Response (DR),2279,1237,1683,2009,947,587,1541,2462,2409,15154
Power Partner (Comm & Muni) ,Demand Response (DR),2057,1331,771,780,167,142,89,,,5337
Load Coop,Demand Response (DR),23,29,27,20,55,78,139,38,36,445
Engineering Support & TES,Demand Response (DR),3,3,4,1,1,3,3,4,,22
Emergency Response Service,Demand Response (DR),,,,,,,,,1,1
"Green Building - Commercial Energy Code (1,000 sq.ft.)",Commercial,2167,3629,1844,852,928,1458,2836,4699,7393,25806
"Green Building - Commercial Ratings (1,000 sq.ft.)",Commercial,632,3088,2309,2650,1642,2091,2035,3779,2939,21165
Green Building - Multifamily Energy Code,Commercial,6056,4805,2260,266,1800,5631,8580,7803,7498,44699
Green Building - Multifamily Ratings,Commercial,962,1912,1721,971,370,709,1548,2067,2554,12814
Green Building - Residential Energy Code,Residential,5270,2941,1738,1909,1857,2394,2783,2754,2890,24536
Green Building - Residential Ratings,Residential,981,1021,712,722,585,352,616,729,701,6419
