Date,Average kWh,Fuel Charge (Cents/kWh),Average Bill,,
1/1/00 0:00,820,1.372,$54.26 ,,
2/1/00 0:00,766,1.372,$50.27 ,,
3/1/00 0:00,707,1.372,$45.91 ,,
4/1/00 0:00,715,1.372,$46.50 ,,https://data.austintexas.gov/Utilities-and-City-Services/Residential-Average-Monthly-kWh-and-Bills/d9pb-3vh7/data
5/1/00 0:00,838,1.372,$61.68 ,,
6/1/00 0:00,1221,1.372,$96.88 ,,
7/1/00 0:00,1442,1.372,$117.20 ,,
8/1/00 0:00,1493,1.635,$125.81 ,,
9/1/00 0:00,1368,1.635,$113.99 ,,
10/1/00 0:00,1029,1.635,$81.94 ,,
11/1/00 0:00,804,2.211,$59.83 ,,
12/1/00 0:00,864,2.211,$64.77 ,,
1/1/01 0:00,1019,2.211,$77.52 ,,
2/1/01 0:00,855,2.682,$68.05 ,,
3/1/01 0:00,714,2.682,$55.78 ,,
4/1/01 0:00,727,2.682,$56.91 ,,
5/1/01 0:00,794,2.682,$68.04 ,,
6/1/01 0:00,1138,2.682,$104.16 ,,
7/1/01 0:00,1320,2.682,$123.28 ,,
8/1/01 0:00,1539,2.682,$146.28 ,,
9/1/01 0:00,1334,2.682,$124.75 ,,
10/1/01 0:00,885,2.682,$77.59 ,,
11/1/01 0:00,691,2.682,$53.78 ,,
12/1/01 0:00,762,2.682,$59.96 ,,
1/1/02 0:00,888,1.774,$62.86 ,,
2/1/02 0:00,799,1.774,$55.92 ,,
3/1/02 0:00,732,1.774,$50.70 ,,
4/1/02 0:00,689,1.774,$47.35 ,,
5/1/02 0:00,941,1.774,$74.93 ,,
6/1/02 0:00,1091,1.774,$89.32 ,,
7/1/02 0:00,1224,1.774,$102.08 ,,
8/1/02 0:00,1303,1.774,$109.66 ,,
9/1/02 0:00,1376,1.774,$116.66 ,,
10/1/02 0:00,1047,1.774,$85.10 ,,
11/1/02 0:00,717,1.774,$49.53 ,,
12/1/02 0:00,788,1.774,$55.07 ,,
1/1/03 0:00,858,1.774,$60.52 ,,
2/1/03 0:00,822,1.774,$57.72 ,,
3/1/03 0:00,801,1.774,$56.08 ,,
4/1/03 0:00,643,1.774,$43.77 ,,
5/1/03 0:00,848,1.774,$66.01 ,,
6/1/03 0:00,1125,1.774,$92.58 ,,
7/1/03 0:00,1285,2.004,$110.89 ,,
8/1/03 0:00,1352,2.004,$117.47 ,,
9/1/03 0:00,1331,2.004,$115.41 ,,
10/1/03 0:00,954,2.004,$78.37 ,,
11/1/03 0:00,782,2.265,$58.44 ,,
12/1/03 0:00,762,2.265,$56.78 ,,
1/1/04 0:00,871,2.796,$70.44 ,,
2/1/04 0:00,773,2.796,$61.80 ,,
3/1/04 0:00,695,2.796,$54.92 ,,
4/1/04 0:00,687,2.796,$54.22 ,,
5/1/04 0:00,726,2.796,$61.72 ,,
6/1/04 0:00,1065,2.796,$97.71 ,,
7/1/04 0:00,1218,2.796,$113.95 ,,
8/1/04 0:00,1277,2.796,$120.22 ,,
9/1/04 0:00,1235,2.796,$115.76 ,,
10/1/04 0:00,1052,2.796,$96.33 ,,
