,YearMonth,PostalCode,CustomerClass,TotalGallons
0,2012-01-01,78613,Irrigation - Commercial,855400
1,2012-01-01,78613,Commercial,2880800
2,2012-01-01,78617,Austin Water Utility,438700
3,2012-01-01,78617,City of Austin,6500300
4,2012-01-01,78617,Commercial,9120500
5,2012-01-01,78617,Irrigation - City of Austin,0
6,2012-01-01,78617,Irrigation - Commercial,566800
7,2012-01-01,78652,Commercial,153700
8,2012-01-01,78653,Wholesale,0
9,2012-01-01,78653,Commercial,251100
10,2012-01-01,78653,Irrigation - Commercial,61600
11,2012-01-01,78660,Irrigation - Commercial,1538500
12,2012-01-01,78660,Austin Water Utility,800
13,2012-01-01,78660,Wholesale,26510300
14,2012-01-01,78660,Commercial,3621100
15,2012-01-01,78701,City of Austin,3680700
16,2012-01-01,78701,Irrigation - City of Austin,691500
17,2012-01-01,78701,Large Volume,255700
18,2012-01-01,78701,Commercial,58006100
19,2012-01-01,78701,Irrigation - Commercial,1335900
20,2012-01-01,78701,Austin Water Utility,96000
21,2012-01-01,78702,Commercial,26057400
22,2012-01-01,78702,Austin Water Utility,78000
23,2012-01-01,78702,Irrigation - City of Austin,586200
24,2012-01-01,78702,Irrigation - Commercial,1327600
25,2012-01-01,78702,City of Austin,971500
26,2012-01-01,78703,Austin Water Utility,0
27,2012-01-01,78703,City of Austin,901500
28,2012-01-01,78703,Irrigation - City of Austin,143100
29,2012-01-01,78703,Commercial,15349200
30,2012-01-01,78703,Irrigation - Commercial,876200
31,2012-01-01,78704,Irrigation - Commercial,1991300
32,2012-01-01,78704,Commercial,33067000
33,2012-01-01,78704,Austin Water Utility,605800
34,2012-01-01,78704,Irrigation - City of Austin,71500
35,2012-01-01,78704,City of Austin,1171000
36,2012-01-01,78705,City of Austin,90900
37,2012-01-01,78705,Irrigation - Commercial,1228600
38,2012-01-01,78705,Large Volume,2976400
39,2012-01-01,78705,Commercial,25498700
40,2012-01-01,78705,Irrigation - City of Austin,400
41,2012-01-01,78712,Large Volume,7150800
42,2012-01-01,78712,Irrigation - Large Volume,11155600
43,2012-01-01,78712,Commercial,3571000
44,2012-01-01,78712,Irrigation - Commercial,142100
45,2012-01-01,78717,Irrigation - Commercial,3921900
46,2012-01-01,78717,Commercial,4208700
47,2012-01-01,78717,City of Austin,0
48,2012-01-01,78717,Irrigation - City of Austin,0
49,2012-01-01,78719,Austin Water Utility,137700
50,2012-01-01,78719,Wholesale,1615400
51,2012-01-01,78719,Irrigation - City of Austin,115300
52,2012-01-01,78719,Irrigation - Commercial,359200
53,2012-01-01,78719,City of Austin,2625100
54,2012-01-01,78719,Commercial,3397500
55,2012-01-01,78721,Irrigation - City of Austin,156600
56,2012-01-01,78721,Austin Water Utility,4200
57,2012-01-01,78721,City of Austin,146800
58,2012-01-01,78721,Commercial,7811100
59,2012-01-01,78721,Irrigation - Commercial,339300
60,2012-01-01,78722,Irrigation - City of Austin,1923000
61,2012-01-01,78722,City of Austin,17000
62,2012-01-01,78722,Irrigation - Commercial,195400
63,2012-01-01,78722,Commercial,4302000
64,2012-01-01,78723,Commercial,14066200
65,2012-01-01,78723,City of Austin,197500
66,2012-01-01,78723,Irrigation - City of Austin,27000
67,2012-01-01,78723,Irrigation - Commercial,2471200
68,2012-01-01,78723,Austin Water Utility,0
69,2012-01-01,78724,City of Austin,1395100
70,2012-01-01,78724,Irrigation - City of Austin,0
71,2012-01-01,78724,Irrigation - Commercial,2256000
72,2012-01-01,78724,Austin Water Utility,0
73,2012-01-01,78724,Commercial,3484300
74,2012-01-01,78725,City of Austin,25100
75,2012-01-01,78725,Commercial,5157600
76,2012-01-01,78725,Large Volume,21456100
77,2012-01-01,78725,Irrigation - Commercial,80600
78,2012-01-01,78725,Wholesale,1166100
79,2012-01-01,78725,Austin Water Utility,1041300
80,2012-01-01,78726,Austin Water Utility,0
81,2012-01-01,78726,Commercial,6281400
82,2012-01-01,78726,City of Austin,301000
83,2012-01-01,78726,Irrigation - Commercial,1740200
84,2012-01-01,78727,Irrigation - City of Austin,0
85,2012-01-01,78727,City of Austin,27000
86,2012-01-01,78727,Commercial,11833800
87,2012-01-01,78727,Irrigation - Commercial,2316600
88,2012-01-01,78728,Commercial,3066700
89,2012-01-01,78728,Wholesale,37528200
90,2012-01-01,78728,Irrigation - Commercial,1144600
91,2012-01-01,78728,Large Volume,17888000
92,2012-01-01,78729,Commercial,9612800
93,2012-01-01,78729,Wholesale,24256800
94,2012-01-01,78729,City of Austin,12900
95,2012-01-01,78729,Irrigation - City of Austin,0
96,2012-01-01,78729,Irrigation - Commercial,2058500
97,2012-01-01,78730,Irrigation - Commercial,1853300
98,2012-01-01,78730,Commercial,2070400
99,2012-01-01,78731,City of Austin,102900
100,2012-01-01,78731,Austin Water Utility,0
101,2012-01-01,78731,Irrigation - Commercial,2512600
102,2012-01-01,78731,Irrigation - City of Austin,77400
103,2012-01-01,78731,Commercial,20804400
104,2012-01-01,78732,Commercial,3536800
105,2012-01-01,78735,Large Volume,12060000
106,2012-01-01,78735,Austin Water Utility,0
107,2012-01-01,78735,Commercial,7449800
108,2012-01-01,78735,Irrigation - Commercial,2491700
109,2012-01-01,78735,Wholesale,339100
110,2012-01-01,78735,City of Austin,289000
111,2012-01-01,78736,Irrigation - Commercial,309300
112,2012-01-01,78736,Commercial,1370800
113,2012-01-01,78737,Irrigation - Commercial,118900
114,2012-01-01,78737,Wholesale,478000
115,2012-01-01,78737,Commercial,1015900
116,2012-01-01,78739,Irrigation - Commercial,1923600
117,2012-01-01,78739,City of Austin,15100
118,2012-01-01,78739,Commercial,1557200
119,2012-01-01,78739,Austin Water Utility,100
120,2012-01-01,78739,Irrigation - City of Austin,0
121,2012-01-01,78739,Wholesale,10531500
122,2012-01-01,78741,City of Austin,295400
123,2012-01-01,78741,Irrigation - City of Austin,266200
124,2012-01-01,78741,Irrigation - Commercial,2213600
125,2012-01-01,78741,Austin Water Utility,34000
126,2012-01-01,78741,Large Volume,31206300
127,2012-01-01,78741,Commercial,14138600
128,2012-01-01,78742,Commercial,406500
129,2012-01-01,78742,Irrigation - Commercial,39900
130,2012-01-01,78744,City of Austin,989100
131,2012-01-01,78744,Irrigation - City of Austin,848300
132,2012-01-01,78744,Austin Water Utility,355000
133,2012-01-01,78744,Commercial,21579500
134,2012-01-01,78744,Wholesale,1904000
135,2012-01-01,78744,Irrigation - Commercial,3558900
136,2012-01-01,78745,Irrigation - City of Austin,100
137,2012-01-01,78745,Commercial,25919800
138,2012-01-01,78745,City of Austin,137100
139,2012-01-01,78745,Irrigation - Commercial,3805900
140,2012-01-01,78745,Wholesale,4659400
141,2012-01-01,78746,City of Austin,1249200
142,2012-01-01,78746,Irrigation - City of Austin,395800
143,2012-01-01,78746,Commercial,10876500
144,2012-01-01,78746,Irrigation - Commercial,1990700
145,2012-01-01,78746,Wholesale,67229800
146,2012-01-01,78747,Commercial,1004700
147,2012-01-01,78747,Wholesale,2038900
148,2012-01-01,78747,Irrigation - Commercial,721800
149,2012-01-01,78748,Irrigation - Commercial,3030200
150,2012-01-01,78748,Irrigation - City of Austin,29100
151,2012-01-01,78748,Wholesale,537400
152,2012-01-01,78748,City of Austin,113900
153,2012-01-01,78748,Commercial,10701000
154,2012-01-01,78749,Irrigation - City of Austin,40200
155,2012-01-01,78749,Irrigation - Commercial,4608900
156,2012-01-01,78749,City of Austin,40900
157,2012-01-01,78749,Commercial,9361400
158,2012-01-01,78749,Wholesale,2781500
159,2012-01-01,78750,Commercial,8068200
160,2012-01-01,78750,Irrigation - City of Austin,74800
161,2012-01-01,78750,Austin Water Utility,739500
162,2012-01-01,78750,Irrigation - Commercial,3276000
163,2012-01-01,78750,City of Austin,247900
164,2012-01-01,78751,Irrigation - City of Austin,680600
165,2012-01-01,78751,City of Austin,39000
166,2012-01-01,78751,Commercial,13897400
167,2012-01-01,78751,Irrigation - Commercial,443900
168,2012-01-01,78752,City of Austin,93600
